ID,Municipality,Contract Type,Fund Source,Serial Number,Description,Year,Contract Awardee,Awardee Headquarters,Date Signed,Estimated Cost,Actual Cost,Annex,value,overun_%
1882,PRISHTINE,Services,"1, 2",62,Dezinsektimi hapsinor i Prishtines,2010,DDD,Prishtine,14-Jul-10,"120,000.00","117,740.00",Not Provided,117740,-0.02
1913,PRISHTINE,Jobs,"1, 2",83,"Ndertimi I rruges ""Muharrem Fejza""",2010,BENI COM,Prishtine,21-Jul-10,"530,000.00","518,838.52",Not Provided,518838.52,-0.02
1859,PRISHTINE,Jobs,"1, 2",97,Ndertimi I vazhdimit te rruges Agim Ramadani,2010,KASTRIOTI,Carraleve,25-Aug-10,"600,000.00","590,026.50",Not Provided,590026.5,-0.02
1868,PRISHTINE,Jobs,"1, 2",85,Rregullimi I oborrit te QMFne lagjen Velania dhe Hajvali,2010,AREA,Kamenice,30-Aug-10,"60,000.00","58,949.37",Not Provided,58949.37,-0.02
1840,PRISHTINE,Jobs,"1, 2",138,Ndertimi I kanalizimit fekal dhe asfaltimi I rruges ne Bernic te ulte,2010,PAPENBURG & ADRIANI,Ferizaj,11-Oct-10,"210,000.00","206,790.37",Not Provided,206790.37,-0.02
1895,PRISHTINE,Services,"1, 2",200,Organizimi I manifestimit mujai I Rinise,2010,PANEUROPA KOS,Prishtine,15-Oct-10,"10,000.00","9,800.00",Not Provided,9800,-0.02
1933,PRISHTINE,Services,"1, 2",166,Perpunimi gjeomatik i imazheve satelitore,2010,STAT GIS,Prishtine,25-Oct-10,"7,500.00","7,322.00",Not Provided,7322,-0.02
1860,PRISHTINE,Supply,"1, 2",121,Furnizimi me aparature laboratorike dhe material shpenzues,2010,KOSLABOR,Prishtine,29-Oct-10,"90,000.00","88,500.00",Not Provided,88500,-0.02
1932,PRISHTINE,Jobs,"1, 2",197,Planifikimi I dheut dhe oborreve dhe ndertimi I rrethojave te shkollave,2010,ULPIANA,Prishtine,29-Oct-10,"85,000.00","82,990.34",Not Provided,82990.34,-0.02
1862,PRISHTINE,Jobs,"1, 2",187,"Ndertimi I rruges ""Leka I Madh"" , murit mbrojtes dhe rruges""Dem Ahmeti""",2010,EURO GARTEN,Lipjani,17-Nov-10,"100,000.00","98,326.90",Not Provided,98326.9,-0.02
1855,PRISHTINE,Jobs,"1, 2",186,"Ndertimi I vazhdimit te rruges ""Holgen Petersen""",2010,NOTI,Prishtine,19-Nov-10,"400,000.00","393,433.99",Not Provided,393433.99,-0.02
1927,PRISHTINE,Jobs,"1, 2",175,Ndertimi I kanalizimit ne Shkabaj dhe murit mbrojtes ne rrug. I. Krasniqi,2010,ABC,Podujeve,22-Nov-10,"70,000.00","68,357.34",Not Provided,68357.34,-0.02
1885,PRISHTINE,Supply,"1, 2",214,"Furnizimi dhe montimi I dy semaforeve ne rrugen ""Bill Kllinton""",2010,RSM COMPANY,Prishtine,1-Dec-10,"90,000.00","88,300.28",Not Provided,88300.28,-0.02
1848,PRISHTINE,Supply,"1, 2",194,Furnizimi me aparat per matjen e zhurmes,2010,PROFITECH,Prishtine,8-Dec-10,"4,000.00","3,935.18",Not Provided,3935.18,-0.02
1869,PRISHTINE,Jobs,"1, 2",158,Ndertimi i kolektorit atmosferik mbi lumin Prishtina ne Lagjen Kalabria.,2010,_LIRIMI,Prizren,14-Dec-10,"3,100,000.00","3,045,674.10",Not Provided,3045674.1,-0.02
1928,PRISHTINE,Services,"1, 2",243,Pergaditjet teknike per organizimin e Vitit te Ri,2010,MINK PRODUCTI,Prishtine,28-Dec-10,"10,000.00","9,765.00",Not Provided,9765,-0.02
1715,PRISHTINE,Jobs,"1, 2",52,"Ndertimi I rrugeve lokale ne mes rruges ""Tirana"" dhe ""A.Krasniqi""",2010,NENTE VELLEZEREIT,Prishtine,8-Jun-10,"825,000.00","820,023.91",Not Provided,820023.91,-0.01
1689,PRISHTINE,Services,"1, 2",94,Organizimi i manifestimi per Diten e Prishtines,2010,THE GROUP,Prishtine,10-Jun-10,"20,000.00","19,900.00",Not Provided,19900,-0.01
1834,PRISHTINE,Jobs,"1, 2",114,Ndrrimi I dyerve dhe dritareve ne shkollen Z.Hajdini,2010,BENI CONSTRUCTION NN,Viti,2-Aug-10,"80,000.00","78,888.00",Not Provided,78888,-0.01
1827,PRISHTINE,Jobs,"1, 2",115,Riparimi i rrugeve rurale,2010,TOIFOR,Prishtine,25-Aug-10,"160,000.00","157,909.50",Not Provided,157909.5,-0.01
1764,PRISHTINE,Jobs,"1, 2",126,Rregullimi I parkingut per traktoret ne Prishtine,2010,RR &MALIQI,Kamenice,1-Sep-10,"30,000.00","29,739.50",Not Provided,29739.5,-0.01
1735,PRISHTINE,Services,"1, 2",123,Dezinfektimi dhe deratizimi I Institucioneve Parashkollore,2010,DDD,Prishtine,7-Sep-10,"9,000.00","8,932.00",Not Provided,8932,-0.01
1836,PRISHTINE,Jobs,"1, 2",139,Asfaltimi I rruges ne Barileve,2010,ESKAVATORI COMPANY,Ferizaj,13-Sep-10,"200,000.00","197,073.64",Not Provided,197073.64,-0.01
1819,PRISHTINE,Services,"1, 2",141,Servisimi I 4 instrumenteve te gjeodezise,2010,PROFI TECH,Prishtine,17-Sep-10,"3,000.00","2,962.50",Not Provided,2962.5,-0.01
1768,PRISHTINE,Jobs,"1, 2",136,Ndertimi I kanalizimit dhe rruges prapa Gjimnazit GJ. Gazuli,2010,NOTI,Prishtine,29-Sep-10,"130,000.00","128,847.85",Not Provided,128847.85,-0.01
1713,PRISHTINE,Jobs,"1, 2",165,"Rindertimi I rrugeve ""Bajram Bahtiri"", ""Lidhja e Prizreit""",2010,ABC,Podujeve,6-Oct-10,"300,000.00","298,241.83",Not Provided,298241.83,-0.01
1758,PRISHTINE,Jobs,"1, 2",164,Rindertimi I rruges ne lagjen Kalabria,2010,EURO GARTEN,Lipjani,6-Oct-10,"175,000.00","173,541.64",Not Provided,173541.64,-0.01
1777,PRISHTINE,Jobs,"1, 2",172,Renovimi I Qendrave Kryesore te Mjeksis Familjare,2010,UNION ENTERIER,Prishtine,6-Oct-10,"80,000.00","79,243.85",Not Provided,79243.85,-0.01
1690,PRISHTINE,Services,"1, 2",193,Riparimi I cisternes 8000 litershe nga autoparku I zjarrefiksave,2010,AUTOSERVIS SIS,Kastriot,1-Nov-10,"4,000.00","3,980.00",Not Provided,3980,-0.01
1738,PRISHTINE,Jobs,"1, 2",195,"Rindertimi I rrugeve: ""H. Tasimi"", ""I.Jashari"", ""N.Teslla"",""H.Mosi"" dhe""Janina""",2010,SHKOZA F07,Malisheve,17-Nov-10,"125,000.00","124,039.11",Not Provided,124039.11,-0.01
1711,PRISHTINE,Jobs,"1, 2",224,"Punet instaluese per skaj rruges ""Bill Kllinton""",2010,ELECTRA NTSH,Prishtine,19-Nov-10,"60,000.00","59,650.00",Not Provided,59650,-0.01
1755,PRISHTINE,Supply,"1, 2",232,Furnizimi me toner dhe pajisje komjuterike,2010,BOTEK NT,Prishtine,30-Nov-10,"8,000.00","7,934.50",Not Provided,7934.5,-0.01
1833,PRISHTINE,Services,"1, 2",241,"Shpallja e sportistit te vitit dhe organizimi I turneut te shahut ""H. Talla""",2010,KLUBI I SHAHUT,Prishtine,24-Dec-10,"9,500.00","9,370.00",Not Provided,9370,-0.01
612,PRISHTINE,Jobs,"1, 2",13,Mirembajtja e gjelbrimit,2010,HORTIKULTURA,Prishtine,4-Mar-10,"280,000.00",Not Provided,280000,280000,0
1612,PRISHTINE,Jobs,"1, 3",9,"Ndertimi I aneksit te shkolles ""Naim Frasheri""",2010,IZOLIMI,Podujeve,24-Mar-10,"500,000.00","499,261.94",Not Provided,499261.94,0
586,PRISHTINE,Jobs,"1, 2",33,Pastrimi dhe larja e rrugeve e trotuareve - pjesa e II-te,2010,PASTRIMI,Prishtine,2-Apr-10,"90,000.00","90,279.84",Not Provided,90279.84,0
613,PRISHTINE,Services,"1, 2",59,Servisimi I automjeteve reno megan te komunes,2010,AUTO VISOKA,Prishtine,20-Apr-10,"10,000.00","10,000.00",Not Provided,10000,0
614,PRISHTINE,Jobs,"1, 2",38,Punet shtese ne ndertimin e rreth rrotullimit dhe udhekryqit ne lagjen Arberi,2010,NOTI,Prishtine,20-May-10,"97,177.00",Not Provided,97177,97177,0
615,PRISHTINE,Services,"1, 2",51,Sherbimet per kontrollimin teknik te automjeteve,2010,REFORMA,Prishtine,25-May-10,"10,000.00","10,000.00",Not Provided,10000,0
1664,PRISHTINE,Jobs,"1, 2",108,Gjelberimi dhe mirembajtja e oborreve te shkollave dhe oborreve I.P.,2010,HORTIKULTURA,Prishtine,23-Jul-10,"60,000.00","59,780.28",Not Provided,59780.28,0
616,PRISHTINE,Jobs,"1, 2",155,Mirmbajtje e gjelbrimit te parqeve te qytetit - Laura,2010,HORTIKULTURA,Prishtine,30-Jul-10,"29,890.00",Not Provided,29890,29890,0
580,PRISHTINE,Jobs,"1, 2",107,"Gelqerosaj dhe renovime ne disa shkolla (P.Bogdani, Ilira ‹)",2010,ZHVILLIMI,Podujeve,13-Sep-10,"200,000.00","200,893.15",Not Provided,200893.15,0
617,PRISHTINE,Supply,"1, 2",130,Furnizimi me nafte per shkollat e Prishtines,2010,HIB PETROL,Prishtine,11-Oct-10,"700,000.00","700,000.00",Not Provided,700000,0
1637,PRISHTINE,Supply,"1, 2",184,Furnizimi me inventar per sallen dhe zyret tjera te Kuvendit Komunal,2010,LESNA,Prishtine,22-Oct-10,"50,000.00","49,880.70",Not Provided,49880.7,0
618,PRISHTINE,Jobs,"1, 2",212,Punet shtes ne ndertimin e rruges Agim Ramadani,2010,KASTRIOTI,Carraleve,29-Oct-10,"53,094.35",Not Provided,53094.35,53094.35,0
619,PRISHTINE,Jobs,"1, 2",209,Sherbimet e ngrohjes qendrore - Termokos,2010,TERMOKOS,Prishtine,1-Nov-10,"27,577.00",Not Provided,27577,27577,0
1688,PRISHTINE,Services,"1, 2",198,Mirembajtja e rrugeve dhe trotuareve te qytetit - pjesa e I-re,2010,ZAHIRI,Prishtine,11-Nov-10,"95,000.00","94,530.00",Not Provided,94530,0
1618,PRISHTINE,Jobs,"1, 2",190,"Ndertimi I objkekteve per invalid te luftes, veteran dhe familje te deshmoreve",2010,STANDARD,Prishtine,23-Nov-10,"850,000.00","848,443.08",Not Provided,848443.08,0
1603,PRISHTINE,Services,"1, 2",231,Sanimi I rrjedhjeve te ujit neper shkolla dhe I.P,2010,RAKETA,Prishtine,6-Dec-10,"6,800.00","6,791.00",Not Provided,6791,0
603,PRISHTINE,Jobs,"1, 2",238,Punet shtese ne ndertimin e shkolles se gjelbert,2010,IZOLIMI&AL TRA,Prishtine,8-Dec-10,"13,756.00",Not Provided,13756.38,13756.38,0
620,PRISHTINE,Services,"1, 2",234,Organizimi I sherbimeve hoteliere per festat e fund vitit dhe tjera,2010,REST PRISHTINA,Prishtine,9-Dec-10,"10,000.00","10,000.00",Not Provided,10000,0
1611,PRISHTINE,Jobs,"1, 2",162,Asfaltimi i rruges Dheu i Kuq-Gllogovice dhe Dabishevc-Hajkobille,2010,KAG ASPHALT,Prizren,20-Dec-10,"1,000,000.00","998,542.50",Not Provided,998542.5,0
621,PRISHTINE,Jobs,"1, 2",242,Punet shtese ne renovimin e salles se Kuvendit Komunal,2010,UNION ENTERIER,Prishtine,28-Dec-10,"8,220.77",Not Provided,8220.77,8220.77,0
622,PRISHTINE,Supply,"1, 2",215,Furnizimi me naft per QMF e Prishtines,2010,PETROL OTI,Prishtine,29-Dec-10,"100,000.00","100,000.00",Not Provided,100000,0
626,PRISHTINE,Jobs,"1, 2",240,Riparimi I kanalizimit atmosferik ne rrugen Haxhi Zeka,2010,DARDANIA,Prishtine,14-Jan-11,"9,460.00",Not Provided,9460,9460,0
1515,PRISHTINE,Jobs,"1, 2",14,"Punet shtese ne ndertimin e gjimnazit ""Gjevdet Doda""",2010,KRAPI COM,Prishtine,Not Provided,"148,269.69",Not Provided,148269.69,148269.69,0
559,PRISHTINE,Jobs,"1, 2",135,Shtrirja e kabllit nga TS 110-prizme 2 deri te objekti ri I Komunes,2010,BAGDAT NTSH,Viti,18-Aug-10,"45,000.00","45,508.00",Not Provided,45508,0.01
569,PRISHTINE,Jobs,"1, 2",110,"Rindertimi I rruges ""Mbreti Longar"" dhe ""Ndre Mjeda""",2010,EURO GARTEN,Lipjani,18-Aug-10,"150,000.00","151,376.60",Not Provided,151376.6,0.01
560,PRISHTINE,Jobs,"1, 2",204,Punet e vrazhda ne ndertimin e lokaleve te nenkalimi ne rrugen _Bill Kllintonî,2010,BENI CONSTRUCTION NN,Viti,29-Oct-10,"110,000.00","111,235.00",Not Provided,111235,0.01
542,PRISHTINE,Supply,"1, 2",16,Furnizimi me kalorifer per brigaden e zjarrefiksave,2010,ITAL FERR,Lipjani,22-Mar-10,"2,000.00","2,050.00",Not Provided,2050,0.02
546,PRISHTINE,Services,"1, 2",198,Mirembajtja e rrugeve dhe trotuareve te qytetit - pjesa e III - te,2010,PASTRIMI,Prishtine,11-Nov-10,"95,000.00","96,800.00",Not Provided,96800,0.02
541,PRISHTINE,Jobs,"1, 2",66,"Ndertimi I rruges lidhese me rrugen ""V.Fazliu""",2010,EURO GARTEN,Lipjani,11-Jun-10,"100,000.00","102,526.26",Not Provided,102526.26,0.03
535,PRISHTINE,Services,"1, 2",198,Mirembajtja e rrugeve dhe trotuareve te qytetit - pjesa e II-te,2010,TOIFOR,Prishtine,11-Nov-10,"95,000.00","97,850.00",Not Provided,97850,0.03
409,PRISHTINE,Services,"1, 2",72,"Pastrimi I objektit te vjeter te Kom., Arkivit te qytetit, dhe zyret ne K.Diellit",2010,MSS,Prishtine,29-Sep-10,"2,000.00","2,688.66",Not Provided,2688.66,0.34
320,PRISHTINE,Jobs,"1, 2",118,Ndertimi I vazhdimit te rruges Enver Maloku,2010,KAG APHALT,Prizren,5-Oct-10,"150,000.00","1,368,616.82",Not Provided,1368616.82,8.12
319,PRISHTINE,Jobs,"1, 2",125,Rindertimi I rruges lidhese Grashtice - Mramor,2010,DKG,Prishtine,18-Aug-10,"6,000.00","55,269.30",Not Provided,55269.3,8.21
318,PRISHTINE,Jobs,"1, 2",109,Rindertimi I rruges dhe kanalizimit ne lagjen Perroi I Njelmet,2010,NOTI,Prishtine,26-Aug-10,"18,000.00","167,471.36",Not Provided,167471.36,8.3
1,KACANIK,Services,Unknown, KA652/10/02/236,"Sigurimi I automjeteve te Administr.,QKMF-se Sherb.Zjarrfikesve",2010,PROSING NSH,Kacanik,3-Mar-10,Not Provided,"7,564.31",Not Provided,7564.31,0
2,KACANIK,Supply,Unknown, KA652/10/03/136,Furnizim me material stomatologjik dhe laboratorik per QKMF-ne-Kacanik,2010,BULI MEDICAL NTP,Prishtine,22-Mar-10,Not Provided,"10,000.00",Not Provided,10000,0
3,KACANIK,Supply,Unknown, KA652/10/04/136,Furnizim me perde per katin e trete ne objektin e Administrates Komunale,2010,JETA E RE NTSH,Kacanik,30-Mar-10,Not Provided,"1,736.29",Not Provided,1736.29,0
4,KACANIK,Services,Unknown, 8493/10/06/235,Eleminimi I qeneve Endacak,2010,SHOQATA E GJUETAReVE DRERI ,Kacanik,1-Apr-10,Not Provided,"2,685.00",Not Provided,2685,0
5,KACANIK,Services,Unknown, 8493/10/06/235,Eleminimi I qeneve Endacak,2010,SHOQATA E GJUETAReVE DRERI ,Kacanik,1-Apr-10,Not Provided,"2,685.00",Not Provided,2685,0
6,KACANIK,Supply,Unknown, KA652/10/07/136,Furnizim me Inventar per Shkollat dhe Administraten Komunale,2010,METALI NTP,Viti,6-Apr-10,Not Provided,"5,235.00",Not Provided,5235,0
7,KACANIK,Services,Unknown, KA652/10/05/236,Mirembajtja dhe riparimi I Automjeteve,2010,MELSIA NTP,Kacanik,8-Apr-10,Not Provided,"10,000.00",Not Provided,10000,0
8,KACANIK,Supply,Unknown, KA652/10/08/136,Furnizim me gyp te ujit per pije per shkollen fillorre Ali Asllani paralelja ne fshatin Koxhaj,2010,NDRIQIMI NT,Kacanik,8-Apr-10,Not Provided,"1,836.00",Not Provided,1836,0
9,KACANIK,Services,Unknown, KA652/10/14/236,Vendosja e Bustit te heroit Kombetar Idriz Seferi ne Kacanik,2010,CONSULT ENGENERING NP,Kacanik,15-Apr-10,Not Provided,"5,922.20",Not Provided,5922.2,0
10,KACANIK,Services,Unknown, KA652/10/09/236,"Punimi I muralit ne shkollkn fillore ""Qamil Ilazi"" te fhsatit Kacanik I Vjeter",2010,P & I NNSH,Kacanik,16-Apr-10,Not Provided,"2,850.74",Not Provided,2850.74,0
11,KACANIK,Supply,Unknown, KA652/10/13/121,"Furnizim me materijal per mirembajtjen e nderteses se SHCK-se, Objekteve Shkollore,Shtepit e Shendetit dhe Ndertesen e Zjarrfiksave",2010,NDRIQIMI NT,Kacanik,19-May-10,Not Provided,"20,000.00",Not Provided,20000,0
12,KACANIK,Jobs,Unknown, KA652/10/12/521,Meremetimi I Pjeserishem ne disa Shkolla ne Komunen e Kacanikut,2010,P & I NNSH,Ferizaj,21-May-10,Not Provided,"34,588.32",Not Provided,34588.32,0
13,KACANIK,Services,Unknown, KA652/10/20/525,Rregullimi I murit mbrojtes ne lagjen e re-Kacanik,2010,AR DRITI NTSH,Ferizaj,24-May-10,Not Provided,"9,981.88",Not Provided,9981.88,0
14,KACANIK,Supply,Unknown, KA652/10/22/136,Furnizim me materijal ndertimor per Shkollen fillore ne fshatin Strazhe,2010,NDRIQIMI NT,Kacanik,3-Jun-10,Not Provided,"8,483.00",Not Provided,8483,0
15,KACANIK,Jobs,Unknown, KA652/10/15/521,Asfaltimi i rruges ne fshatin Elezaj,2010,EUROTRANS NNT,Kacanik,15-Jun-10,Not Provided,"150,426.70",Not Provided,150426.7,0
16,KACANIK,Supply,Unknown, KA652/09/024/136,"Furnizim me materijal higjenik per nevojat e SHCK-se, Shkollat , Zjarrfiksave dhe Shendetsine.",2010,DADINI NTP,Kacanik,16-Jun-10,Not Provided,"10,000.00",Not Provided,10000,0
17,KACANIK,Supply,Unknown, KA652/09/025/136,"Furnizim me materijal ushqimor dhe pije per nevojat e SHCK-se, Shkollat , Zjarrfiksave dhe Shendetsine.",2010,DADINI NTP,Kacanik,16-Jun-10,Not Provided,"10,000.00",Not Provided,10000,0
18,KACANIK,Jobs,Unknown, KA652/10/18/521,Ndertimi I Kanalizimit fekal per Lagjen Imisht ne fshatin Lirishte,2010,MURSELI COMPANY SHPK,Kacanik,17-Jun-10,Not Provided,"23,486.00",Not Provided,23486,0
19,KACANIK,Jobs,Unknown, KA652/10/19/521,Asfaltimi I rruges Lirishte - Sepetine,2010,ATC COM NNP,Kacanik,18-Jun-10,Not Provided,"152,077.96",Not Provided,152077.96,0
20,KACANIK,Services,Unknown, KA652/10/23/236,Renovimi I objektit te administrates Komunale - Fasadimi,2010,P & I NNSH,Ferizaj,18-Jun-10,Not Provided,"9,945.00",Not Provided,9945,0
21,KACANIK,Services,Unknown, KA652/10/035/236,Transparenca Komunale per Planifikim Vjetor,2010,RADIO KA_ANIKU,Kacanik,7-Jul-10,Not Provided,"6,600.00",Not Provided,6600,0
22,KACANIK,Supply,Unknown, KA652/10/032/136,Furnizim me Mobilje per nevojat Administrates Komunale,2010,METALI NTP,Not Provided,16-Jul-10,Not Provided,"2,985.00",Not Provided,2985,0
23,KACANIK,Supply,Unknown, KA652/10/036/136,Furnizim me pajisje teknologjike per nevojat e administartes Komunale,2010,ELITA IT NTSH,Kacanik,19-Jul-10,Not Provided,"9,751.00",Not Provided,9751,0
24,KACANIK,Services,Unknown, KA652/10/031/236,Ndertimi I mureve ndarese ne shkollen fillore Qamil Ilazi dhe ndertimi I WC - ve dhe nyjeve sanitare ne shkollen fillore ne fshatin Bicaj,2010,ARDRITI NTSH,Kacanik,20-Jul-10,Not Provided,"9,979.37",Not Provided,9979.37,0
25,KACANIK,Jobs,Unknown, KA652/10/26/521,Punimi I rrjetit nentoksor te tensionit te larte ne rrugen Ismail Raka,2010,ARDRITI NTSH,Not Provided,21-Jul-10,Not Provided,"37,714.00",Not Provided,37714,0
26,KACANIK,Supply,Unknown, KA652/10/029/121,"""Furnizim me nafte dhe derivate te naftes per nevojat e SHCK-se, Shendetesine, Shkollat dhe Zjarrfiksat"", Kontrate njevjeqare me mundesi vazhdimiedhe per nje vit.",2010,SHKeNDIA NTSH,Kacanik,22-Jul-10,Not Provided,"150,000.00",Not Provided,150000,0
27,KACANIK,Jobs,Unknown, KA652/10/030/521,Pastrimi I perronjeve ne Komunen e Kacanikut,2010,VLLEZRIT DEMA NT,Kacanik,4-Aug-10,Not Provided,"38,878.56",Not Provided,38878.56,0
28,KACANIK,Services,Unknown, KA652/10/028/221,"Sigurimi i objekteve te Administrates Komunale,Qendres Kryesore te Mjekesise Familjare dhe Shtepise se Kultures ,, Xheladin Kurtaj""- Kacanik. Kontrate njevjecare me mundesi vazhdimi edhe per nje vit.",2010,SYRI I SHQIPONJeS SHPK,Kacanik,12-Aug-10,Not Provided,"36,000.00",Not Provided,36000,0
29,KACANIK,Jobs,Unknown, KA652/10/033/521,Ndertimi I kanalizimit fekal ne rrugen 2 Korriku,2010,MURSELI COMPANY SHPK,Kacanik,16-Aug-10,Not Provided,"39,997.42",Not Provided,39997.42,0
30,KACANIK,Jobs,Unknown, KA652/10/034/521,Ndertimi I kanalizimit fekal dhe atmosferik ne fshatin Doganaj - Lagja Mursel dhe Kolsh,2010,MURSELI COMPANY SHPK,Kacanik,16-Aug-10,Not Provided,"34,977.89",Not Provided,34977.89,0
31,KACANIK,Services,Unknown, KA652/10/43/236,"Rregullimi I nyjeve sanitare te personelit, dyshemeve te zyres se personelit , Drejtorit dhe dritaret e tyre ne gjimnazin Skenderbeu",2010,CONSULT ENGENERING NP,Kacanik,7-Sep-10,Not Provided,"8,497.13",Not Provided,8497.13,0
32,KACANIK,Supply,Unknown, KA652/10/038/121,"Furnizim me lende djegese thengjil, per Shkollat",2010,AJRONI COM NTP,Prishtine,8-Sep-10,Not Provided,"9,120.00",Not Provided,9120,0
33,KACANIK,Jobs,Unknown, KA652/10/39/521,Asfaltimi I rruges Deshmoret e Lirise,2010,UNIPROJEKT NPN,Kacanik,10-Sep-10,Not Provided,"39,856.26",Not Provided,39856.26,0
34,KACANIK,Services,Unknown, KA652/10/44/236,Sanimi I rrjetit te Kanalizimit fekal ne lagjen Drogomac dhe lagjen Vathtur,2010,BURIMI SHPK,Kacanik,15-Sep-10,Not Provided,"6,409.69",Not Provided,6409.69,0
35,KACANIK,Jobs,Unknown, KA652/10/40/521,"Zgerimi dhe asfalltimi I rruges nga maxhistralja per fsh,Bicec dhe fsh.Nike",2010,BURIMI SHPK,Kacanik,16-Sep-10,Not Provided,"47,956.60",Not Provided,47956.6,0
36,KACANIK,Jobs,Unknown, KA652/10/41/521,Meremetimi I shtepise se Kultures ne fshatin Glloboqice,2010,ATC COM NNP,Kacanik,20-Sep-10,Not Provided,"18,923.55",Not Provided,18923.55,0
37,KACANIK,Jobs,Unknown, KA652/10/46/521,Ndertimi I trotuarit ne rrugen dalese kryesore nga Kacaniku dhe rampave per personat me aftesi te kufizuara,2010,FLORIDA TRADE NTSH,Kacanik,15-Oct-10,Not Provided,"7,035.89",Not Provided,7035.89,0
38,KACANIK,Jobs,Unknown, KA652/10/49/521,Ndertimi I byfese ne katin e pare mbi zyren e pritjes,2010,FLORIDA TRADE NTSH,Kacanik,15-Oct-10,Not Provided,"14,875.96",Not Provided,14875.96,0
39,KACANIK,Services,Unknown, KA652/10/51/236,Ndertimi I trotuarit ne rrugen Vllezerit _aka,2010,REMA NTSH,Kacanik,15-Oct-10,Not Provided,"9,956.66",Not Provided,9956.66,0
40,KACANIK,Supply,Unknown, KA652/10/047/121,"""Furnizim me lende djegese dru per shkollat, shendetsine dhe te zyreve te venditî dhe shkurtimi I tyre",2010,KEMI NPSH,Kacanik,25-Oct-10,Not Provided,"34,916.00",Not Provided,34916,0
41,KACANIK,Jobs,Unknown, KA652/10/52/521,"Ndertimi I rrjetit te ujsjellsit, rezervareve dhe kaptazhes per fshani Glloboqic",2010,BURIMI SHPK,Kacanik,25-Oct-10,Not Provided,"159,566.20",Not Provided,159566.2,0
42,KACANIK,Services,Unknown, KA652/10/54/236,"Ndertimi I tumbines ne fsh.Kovace dhe vendosja e gypit ne fsh.Bajnic te Sh.F'Nazmi Osmani""",2010,EUROTRANS NNT,Kacanik,2-Nov-10,Not Provided,"6,870.52",Not Provided,6870.52,0
43,KACANIK,Services,Unknown, KA652/10/58/236,Sanimi I rrjetit te Kanalizimit fekal ne lagjen Ahmetaj dhe Tron ne fsh.Kovacec-Kacanik,2010,MURSELI COMPANY SHPK,Kacanik,2-Nov-10,Not Provided,"1,500.00",Not Provided,1500,0
44,KACANIK,Jobs,Unknown, KA652/10/42/521,Asfaltimi I rruges Lamaj - Cak - Tifek,2010,BURIMI SHPK,Kacanik,3-Nov-10,Not Provided,"90,050.75",Not Provided,90050.75,0
45,KACANIK,Jobs,Unknown, KA652/10/030/521,"Pastrimi I perronjeve ne Komunen e Kacanikut , Aneks Kontrat",2010,VLLEZRIT DEMA NT,Kacanik,8-Nov-10,Not Provided,"3,816.00",Not Provided,3816,0
46,KACANIK,Jobs,Unknown, KA652/10/53/521,Ndertimi I shkolles fillore ne fshatin Vate -Dubrave,2010,MURSELI COMPANY SHPK,Kacanik,9-Nov-10,Not Provided,"191,238.73",Not Provided,191238.73,0
47,KACANIK,Services,Unknown, KA652/10/57/236,Meremetimi I banjove ne QKMF-ne-Kacanik,2010,AR DRITI NTSH,Ferizaj,9-Nov-10,Not Provided,"1,298.51",Not Provided,1298.51,0
48,KACANIK,Services,Unknown, KA652/10/59/236,Sanimi I rrjetit te kanalizimit fekal ne rrugen Agim Bajrmi,2010,MURSELI COMPANY SHPK,Kacanik,9-Nov-10,Not Provided,"1,999.46",Not Provided,1999.46,0
49,KACANIK,Supply,Unknown, KA652/10/60/136,Furnizim me tonera per nevojat e Administrates Komunale,2010,BESS TONERS NTSH,Gjilan,11-Nov-10,Not Provided,"10,000.00",Not Provided,10000,0
50,KACANIK,Supply,Unknown, KA652/10/61/136,"Furnizim me material te ujsjellsit ne fsh,Reke-Kacanik",2010,TE LUTA NTSH,Kacanik,11-Nov-10,Not Provided,"2,935.10",Not Provided,2935.1,0
51,KACANIK,Services,Unknown, KA652/10/56/521,Mirmbajtja Verore dhe Dimrore e rrugeve ne Komunen e Kacanikut,2010,MAGJISTRALJA NNT,Gjilan,15-Nov-10,Not Provided,"55,000.00",Not Provided,55000,0
52,KACANIK,Supply,Unknown, KA652/10/62/136,Furnizimi dhe montimi I pompes per nxemjen qendrore neQKMF-,2010,AR DRITI NTSH,Kacanik,1-Dec-10,Not Provided,"1,800.00",Not Provided,1800,0
53,KACANIK,Services,Unknown, KA652/10/63/236,Regullimi I kanalizimit ne rrugen deshmoret e lirise,2010,UNIPROJEKT NPN,Kacanik,1-Dec-10,Not Provided,"1,949.25",Not Provided,1949.25,0
54,KACANIK,Jobs,Unknown, KA652/10/55/521,Rregullimi dhe asfalltimi I rrugeve Lokale,2010,MAGJISTRALJA NNT,Gjilan,8-Dec-10,Not Provided,"50,000.00",Not Provided,50000,0
55,KACANIK,Supply,Unknown, KA652/10/64/136,Furnizim me tepison per shkollat,2010,EDONA DPT,Kacanik,13-Dec-10,Not Provided,"2,010.20",Not Provided,2010.2,0
56,KACANIK,Supply,Unknown, KA652/10/65/136,Furnizim me mobilje per nevojat e shkollave,2010,METALI NTP,Viti,13-Dec-10,Not Provided,"5,728.00",Not Provided,5728,0
